iter	Passed	Remaining
832	16994	3407
833	17009	3385
834	17023	3363
835	17043	3343
836	17056	3321
837	17072	3300
838	17089	3279
839	17108	3258
840	17125	3237
841	17139	3216
842	17154	3194
843	17169	3173
844	17185	3152
845	17201	3131
846	17219	3110
847	17238	3089
848	17254	3068
849	17275	3048
850	17304	3029
851	17333	3010
852	17357	2991
853	17382	2971
854	17400	2951
855	17420	2930
856	17439	2909
857	17462	2890
858	17486	2870
859	17504	2849
860	17515	2827
861	17533	2807
862	17548	2785
863	17562	2764
864	17579	2743
865	17592	2722
866	17614	2702
867	17626	2680
868	17644	2659
869	17664	2639
870	17678	2618
871	17701	2598
872	17717	2577
873	17740	2557
874	17759	2537
875	17777	2516
876	17798	2496
877	17817	2475
878	17841	2456
879	17859	2435
880	17883	2415
881	17897	2394
882	17917	2374
883	17932	2353
884	17948	2332
885	17968	2311
886	17984	2291
887	18000	2270
888	18019	2249
889	18032	2228
890	18054	2208
891	18068	2187
892	18086	2167
893	18102	2146
894	18119	2125
895	18140	2105
896	18153	2084
897	18167	2063
898	18177	2042
899	18188	2020
900	18197	1999
901	18208	1978
902	18219	1957
903	18229	1935
904	18239	1914
905	18248	1893
906	18258	1872
907	18267	1850
908	18277	1829
909	18286	1808
910	18295	1787
911	18303	1766
912	18312	1744
913	18320	1723
914	18329	1702
915	18338	1681
916	18346	1660
917	18354	1639
918	18362	1618
919	18371	1597
920	18382	1576
921	18391	1555
922	18400	1535
923	18409	1514
924	18417	1493
925	18428	1472
926	18437	1451
927	18448	1431
928	18457	1410
929	18466	1389
930	18475	1369
931	18484	1348
932	18493	1328
933	18503	1307
934	18512	1286
935	18525	1266
936	18538	1246
937	18547	1225
938	18558	1205
939	18569	1185
940	18576	1164
941	18585	1144
942	18592	1123
943	18600	1103
944	18607	1082
945	18614	1062
946	18623	1042
947	18630	1021
948	18639	1001
949	18647	981
950	18666	961
951	18686	942
952	18720	923
953	18739	903
954	18768	884
955	18775	864
956	18784	844
957	18792	823
958	18802	803
959	18810	783
960	18818	763
961	18825	743
962	18833	723
963	18840	703
964	18847	683
965	18854	663
966	18861	643
967	18868	623
968	18876	603
969	18883	584
970	18890	564
971	18898	544
972	18905	524
973	18912	504
974	18920	485
975	18927	465
976	18935	445
977	18943	426
978	18950	406
979	18957	386
980	18964	367
981	18971	347
982	18979	328
983	18986	308
984	18993	289
985	18999	269
